Title,Author,Subtitle,ISBN,Status,Rating,Pages,Publisher,Series,Country,Language,Ownership,Copies,Genres,Themes,Moods,Tropes,Tags,Seasonal,Collections,One-line recommendation,Confidence,Why I recommend it,Personal notes,Finished,Added,Times recommended,Last recommended
Prince of Ayodhya,Ashok K. Banker,,,want-to-read,,,,,India,English,,,Historical Fiction; Mythology,grief; identity; war; found family,heartbreaking; hopeful,period setting; social constraints; mythology retelling; divine politics,Indian author; Hindu mythology; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Heartbreaking Reads; Comfort Reads,A beautifully written retelling of the Ramayana that explores the complexities of Rama's character.,,,,,,0,
The Psychology of Love,Rashna Imhasly-Gandhy,,,want-to-read,,,,,India,English,,,Psychological Fiction; Romance,love; relationships; self-discovery,emotional; intimate; thought-provoking,slow burn; emotional payoff,Indian author; romance novel; psychological fiction; book club pick,,India Bookshelf; Heartbreaking Reads,A thought-provoking exploration of love and relationships.,,,,,,0,
Namaha,Abhishek singh,,,want-to-read,,,,,India,English,,,Literary Fiction; Mythology,grief; identity; found family,heartbreaking; hopeful,character-driven; interiority; mythology retelling; divine politics,Indian author; mythology story; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Literary Fiction; Heartbreaking Reads; Comfort Reads,A poignant exploration of Indian mythology and identity.,,,,,,0,
Fisher Queen'S Dynasty,Kavita kane,,,want-to-read,,,,,India,English,,,Historical Fiction; Mythology,power; identity; family; legacy,epic; atmospheric; hopeful,period setting; social constraints; mythology retelling; divine politics,Indian author; mythology story; book club pick; translated fiction; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Comfort Reads; Dark & Atmospheric,A beautifully written epic that reimagines Indian mythology in a fresh and compelling way.,,,,,,0,
Ajaya,Anand Neelakantan,roll of dice,,want-to-read,,,,,India,English,,,Historical Fiction; Mythology,grief; identity; war; found family,epic; atmospheric; dark,period setting; social constraints; mythology retelling; divine politics,Indian author; Hindu mythology; Epic story; book club pick; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Dark & Atmospheric,A gripping retelling of the Mahabharata from an unexpected perspective.,,,,,,0,
Karna's wife,Kavita kane,,,want-to-read,,,,,India,English,,,Mythology; Literary Fiction,identity; family; love; loss; self-discovery,heartbreaking; hopeful; atmospheric,mythology retelling; divine politics; character-driven; interiority,Indian author; mythology retelling; book club pick; translated fiction; level:intermediate,Diwali; Navratri,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Literary Fiction; The Epic Project; Epic · Karna; Heartbreaking Reads; Comfort Reads; Dark & Atmospheric,A beautifully written retelling of the Mahabharata that will leave you pondering the complexities of human relationships.,,,,,,0,
Lanka's princess,Kavita kane,,,want-to-read,,,,,India,English,,,Historical Fiction; Mythology,grief; identity; partition; war,heartbreaking; hopeful,period setting; social constraints; mythology retelling; divine politics; historical trauma,Indian author; partition story; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Partition Stories; Indian Historical Fiction; Heartbreaking Reads; Comfort Reads,A beautifully written exploration of grief and identity.,,,,,,0,
Mahagauri,Nitya neelakantan,,,want-to-read,,,,,India,English,,,Literary Fiction; Mythology,grief; identity; self-discovery,heartbreaking; hopeful; atmospheric,character-driven; interiority; mythology retelling; divine politics,Indian author; mythology story; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Literary Fiction; Heartbreaking Reads; Comfort Reads; Dark & Atmospheric,"A beautifully written, thought-provoking novel that will resonate with fans of mythology and literary fiction.",,,,,,0,
shiva Purana,Bibek Debroy,,,want-to-read,,,,,India,Sanskrit,,,Mythology; Religious Fiction,faith; divinity; cosmology; creation,contemplative; atmospheric,mythology retelling; divine politics,Indian mythology; Hindu scripture; translated fiction; spiritual read; level:intermediate,,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Dark & Atmospheric,For those seeking a deeper understanding of Hindu mythology and the divine.,,,,,,0,
Shiva,Shubha vilas,,,want-to-read,,,,,India,English,,,Historical Fiction; Mythology,grief; identity; faith,heartbreaking; hopeful,period setting; social constraints; mythology retelling; divine politics,Indian author; Hindu mythology; book club pick; translated fiction; level:intermediate,Diwali,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Heartbreaking Reads; Comfort Reads,A beautifully written retelling of the Shiva legend that will leave you pondering the complexities of faith.,,,,,,0,
Hanuman,Vimkesh Kanti Verma,,,want-to-read,,,,,India,Hindi,,,Mythology; Non-Fiction; Religion & Spirituality,devotion; loyalty; heroism; dharma; faith; selfless service,inspiring; reverent; epic; heroic,legendary hero; divine intervention,Indian author; Indian mythology; Ramayana stories; Hanuman Jayanti; devotional read; spiritual mythology; level:intermediate,Hanuman Jayanti; Diwali; rainy day read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,"An inspiring look at faith, strength, and unwavering devotion through the story of Indian mythology's greatest hero.",,,,,,0,
Hanuman flies to ravana's lanka,Kushagra Singh,,,want-to-read,,,,,India,English,,,Mythology; Fantasy; Fiction,devotion; courage; hero's journey; loyalty; good vs evil,inspiring; adventurous; heroic; epic,hero's journey; epic quest,Indian author; Indian mythology; Ramayana story; Hanuman Jayanti; Diwali read; quick read; level:intermediate,Hanuman Jayanti; Diwali; Dussehra,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,An inspiring dive into one of the most thrilling and celebrated episodes of the Ramayana.,,,,,,0,
The Hawk'S Quest,Deepa Aggarwal,,,want-to-read,,,,,India,English,,,Children's Fiction; Fantasy; Adventure,courage; friendship; quest; good vs evil; destiny,adventurous; magical; suspenseful; inspiring,the quest; animal companion; ancient prophecy,Indian author; children's book; fantasy adventure; middle grade fantasy; quick read; mythical quest,Summer Reading; Children's Book Week,India Bookshelf,"A captivating Indian fantasy adventure packed with magic, courage, and an unforgettable quest.",,,,,,0,
Yuganta,Irawati Karve,the end of an epoch,,want-to-read,,218,Orient Blackswan,,India,Marathi,,,Non-Fiction; Mythology; Literary Criticism,human nature; morality; dharma; destiny; deconstruction of epic heroes; societal norms,analytical; reflective; thought-provoking; insightful,mythology retelling; divine politics,Indian author; Mahabharata analysis; Sahitya Akademi winner; classic non-fiction; translated literature; book club pick; under 300 pages; level:intermediate; gem:classic,Diwali; Monsoon read; Women's History Month,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,"A groundbreaking re-examination of the Mahabharata that strips away divinity to reveal complex, deeply human characters.",,,,,,0,
Urmila,Samar,,,want-to-read,,,,,India,Hindi,,,Mythology; Literary Fiction; Historical Fiction,sacrifice; solitude; loyalty; devotion; womanhood; duty,contemplative; melancholic; emotional; atmospheric,untold perspective; long separation,Indian author; Ramayana retelling; feminist mythology; women of epics; book club pick; Indian fiction; level:intermediate,Women's History Month; Diwali; monsoon read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Indian Literary Fiction; Heartbreaking Reads; Dark & Atmospheric,A moving retelling that shines an overdue spotlight on one of Indian mythology's most selfless figures.,,,,,,0,
Menaka'S Choice,Kavita kane,,,want-to-read,,320,Rupa Publications,,India,English,,,Mythology; Fiction; Historical Fiction,womanhood; duty vs desire; agency; love; destiny; free will,emotional; dramatic; reflective; atmospheric,forbidden love; duty vs desire,Indian author; mythological retelling; feminist fiction; book club pick; Indian mythology; women-centric story; level:intermediate,Women's History Month; monsoon read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Heartbreaking Reads; Dark & Atmospheric,A thought-provoking retelling that reshapes the narrative of a famous celestial nymph into a story of female agency and love.,,,,,,0,
Ahalya'S Awakening,Kavita kane,,,want-to-read,,312,Rupa Publications,,India,English,,,Mythology; Fiction,female agency; patriarchy; purity and sin; identity; redemption; truth,reflective; thought-provoking; emotional; dramatic,mythological retelling; tragic heroine,Indian author; mythological fiction; feminist retelling; Ramayana retelling; book club pick; women's voices; level:intermediate,Women's History Month; Navratri; rainy day read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Heartbreaking Reads,"A compelling reimagining of an epic mythological figure that reclaims her voice, agency, and dignity.",,,,,,0,
The Flawed Good Man,Sanskriti Singh,,,want-to-read,,,,,India,English,,,Contemporary Fiction; Romance; Literary Fiction,morality; imperfect love; grief; self-discovery; forgiveness; relationships,emotional; introspective; bittersweet; poignant,flawed protagonist; second chances,Indian author; contemporary fiction; book club pick; emotional read; imperfect characters; relationship drama; level:intermediate,rainy day read; autumn read,India Bookshelf; Indian Literary Fiction; Heartbreaking Reads,"An evocative and grounded look at love, heartbreak, and the gray areas of human morality.",,,,,,0,
The Queen Who Ruled the Waves,Indira ananthakrishnan,,,want-to-read,,,,,India,English,,,Historical Fiction; Children's Fiction,courage; resistance; leadership; women in history; patriotism; freedom,inspiring; heroic; adventurous,warrior queen; underdog victory,Indian author; Indian history; warrior queen; Women's History Month; freedom fighter; under 200 pages,Women's History Month; Independence Day; Republic Day,India Bookshelf; Indian Historical Fiction,An inspiring chronicle of one of India's most extraordinary forgotten warrior queens.,,,,,,0,
The King Who Turned in to a Serpent,Sudha Madhavan,,,want-to-read,,,,,India,English,,,Mythology; Folklore; Children's Fiction,pride; hubris; curses; morality; dharma,cautionary; reflective; engaging,curse; fallen ruler,Indian author; Indian mythology; moral story; folktale retelling; quick read; children's book; level:intermediate,bedtime read; mythology month,India Bookshelf; Roots of Bharat; Indian Mythology Retellings,An engaging mythological tale that delivers timeless lessons on humility and consequence.,,,,,,0,
sita's Ramayana,samhita Arni,,,want-to-read,,152,Tara Books,,India,English,,,Graphic Novel; Mythology; Fiction,war and its consequences; female perspective; resilience; duty; devotion; survival,reflective; poignant; atmospheric; striking,mythological retelling; female point of view,Indian author; graphic novel; feminist retelling; Ramayana retelling; illustrated book; book club pick; short read; level:intermediate,Women's History Month; Diwali; rainy day read,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; The Epic Project; Epic · Sita; Dark & Atmospheric,A stunning visual retelling of the Ramayana that shifts the spotlight to Sita's voice and questions the tragic toll of war.,,,,,,0,
Shabri Ke Ram,Tulika Singh,,,want-to-read,,,Prabhat Prakashan,,India,Hindi,,,Mythology; Fiction,devotion; faith; patience; equality; spiritual transformation,inspiring; devotional; emotional; reflective,long wait rewarded; unconditional devotion,Indian author; mythological fiction; Ramayana retelling; devotional story; Ram Navami read; Diwali pick; level:intermediate,Ram Navami; Diwali; Dussehra,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Heartbreaking Reads,An uplifting retelling that beautifully highlights the power of pure devotion and patience.,,,,,,0,
Mandodsri: Queen of Lanka,manini J. Anandani,,,want-to-read,,,Leadstart Publishing,,India,English,,,Mythology; Historical Fiction; Fiction,duty vs desire; womanhood; loyalty; moral conflict; power and devotion; fate,reflective; poignant; atmospheric; dramatic,retelling; tragic heroine; royalty,Indian author; mythological retelling; female perspective; Ramayana retelling; book club pick; women-centric; level:intermediate,Navratri; Diwali; Women's History Month,India Bookshelf; Roots of Bharat; Indian Mythology Retellings; Indian Historical Fiction; Dark & Atmospheric,"An insightful mythic retelling that brings voice, grace, and agency to Ravana's regal queen.",,,,,,0,
