Title,Subtitle,Author,Author Gender,Country,Original Language,Translator,Publication Year,Pages,ISBN,Cover URL,Fiction / Non-fiction,Primary Genre,Secondary Genre,Subgenre,Audience,Series,Series Name,Series Number,Standalone,Themes,Mood / Reading Experience,,Search Tags,Female Author,Female Protagonist,Women Focus,Collections,Recommendation Occasion,Reading Level,Similar Books,One-line Recommendation,Short Description,Instagram Hook,Instagram Post Topic,Best Posting Month,Chapters.Aur.Chai Rating,Read Status,Date Read,Format Read,Owned,Wishlist,Awards,Bestseller,Adaptation,BookTok Popular,Bookstagram Popular
Talking at Night,—,Claire Daverley,Female,UK,English,—,2023,432,—,—,Fiction,Literary Fiction,Contemporary Fiction,Literary Romance,Adult,No,—,—,Yes,"Love, Grief, Family, Time","Emotional, Reflective, Bittersweet","Friends to Lovers, Coming of Age","Literary Fiction, Romance, Women's Fiction, Emotional Read",Yes,Yes,Primary,"Literary Fiction, Contemporary Romance",Emotional Read,Intermediate,"Normal People, Tomorrow and Tomorrow and Tomorrow, One Day","A beautifully written novel about first love, grief, and the people who shape us forever.","Claire Daverley explores love, loss, and growing up through a deeply emotional and intimate literary romance.",Some love stories stay with you long after they end.,Literary Love Stories Worth Reading,October,,,,,,Yes,Bestseller,No,Moderate,High,
The Convenience Store by the Sea,—,Sonoko Machida,Female,Japan,Japanese,Yes,2023 (Eng.),—,—,—,Fiction,Literary Fiction,Contemporary Fiction,Healing Fiction,Adult,No,—,—,Yes,"Community, Kindness, Healing, Everyday Life","Cozy, Heartwarming, Gentle","Found Family, Slice of Life","Japanese Literature, Healing Fiction, Cozy Read, Slow Living",Yes,Yes,Secondary,"Japanese Literature, Healing Fiction",Comfort Read,Beginner,"Before the Coffee Gets Cold, What You Are Looking For Is in the Library, Sweet Bean Paste",A heartwarming Japanese novel celebrating ordinary lives and quiet kindness.,A gentle story where everyday encounters slowly heal broken hearts and restore hope.,Sometimes healing begins in the most ordinary places.,Japanese Healing Fiction Recommendations,January,,,,,,Yes,Bestseller,No,Growing,High,
The House in the Cerulean Sea,—,T. J. Klune,Male,USA,English,—,2020,394,—,—,Fiction,Fantasy,Contemporary Fantasy,Cozy Fantasy,Adult,No,—,—,Yes,"Acceptance, Found Family, Love, Belonging","Cozy, Hopeful, Heartwarming","Found Family, Magical Children","Cozy Fantasy, LGBTQ+, Comfort Read, BookTok",No,No,Secondary,"Cozy Fantasy, LGBTQ+ Fiction",Comfort Read,Beginner,"Legends & Lattes, Under the Whispering Door, The Very Secret Society of Irregular Witches","A magical, comforting fantasy that celebrates kindness, belonging, and chosen family.",T. J. Klune delivers one of the coziest fantasy novels of recent years with unforgettable characters.,This book feels like a warm hug.,Cozy Fantasy Books Everyone Should Read,December,,,,,,Yes,Alex Award,TV Rights,Very High,Very High,
Divine Rivals,—,Rebecca Ross,Female,USA,English,—,2023,368,—,—,Fiction,Fantasy,Romance,Historical Fantasy,Young Adult,Yes,Letters of Enchantment,1,No,"Love, War, Hope, Fate","Romantic, Emotional, Atmospheric","Rivals to Lovers, Magical Letters","YA Fantasy, BookTok, Romance, Women Author",Yes,Yes,Primary,"YA Fantasy, Romance",Romantic Read,Beginner,"Ruthless Vows, Once Upon a Broken Heart, A River Enchanted",An unforgettable fantasy romance where love survives even in the middle of war.,"Rebecca Ross combines magical letters, emotional storytelling, and lyrical writing into a modern fantasy favorite.",What if love could travel through enchanted letters?,Fantasy Romance Books That Deserve the Hype,September,,,,,,Yes,Goodreads Choice Winner,Film Rights,Very High,Very High,
The Lion Women of Tehran,—,Marjan Kamali,Female,USA / Iran,English,—,2024,336,—,—,Fiction,Historical Fiction,Literary Fiction,Women's Fiction,Adult,No,—,—,Yes,"Friendship, Identity, Revolution, Womanhood","Emotional, Reflective","Lifelong Friendship, Political Upheaval","Iranian Literature, Women-Centric, Historical Fiction",Yes,Yes,Primary,"Women's Fiction, Historical Fiction",Women's Fiction Read,Intermediate,"The Stationery Shop, A Thousand Splendid Suns, Home Fire","A moving story of friendship, resilience, and the changing lives of Iranian women.",Marjan Kamali explores decades of history through one unforgettable female friendship.,Friendship can survive even revolutions.,Women-Centric Historical Fiction,March,,,,,,Yes,Bestseller,No,Growing,High,
Once Upon a Broken Heart,—,Stephanie Garber,Female,USA,English,—,2021,408,—,—,Fiction,Fantasy,Romance,Fairy Tale Fantasy,Young Adult,Yes,Once Upon a Broken Heart,1,No,"Love, Fate, Magic, Hope","Whimsical, Romantic","Bargain with Fate, Cursed Prince","YA Fantasy, Fairy Tale, BookTok",Yes,Yes,Primary,Fairy Tale Fantasy,Fantasy Romance Read,Beginner,"Caraval, Divine Rivals, Belladonna","A magical fairy-tale romance full of curses, destiny, and unforgettable characters.",Stephanie Garber creates a whimsical world readers won't want to leave.,Would you trust the Prince of Hearts?,Fairytale Fantasy Recommendations,February,,,,,,Yes,Bestseller,No,Very High,Very High,
The Cruel Prince,—,Holly Black,Female,USA,English,—,2018,384,—,—,Fiction,Fantasy,Romance,Political Fantasy,Young Adult,Yes,The Folk of the Air,1,No,"Power, Ambition, Betrayal, Identity","Dark, Fast-paced","Enemies to Lovers, Court Intrigue","YA Fantasy, Fae, BookTok",Yes,Yes,Primary,Fae Fantasy,Enemies-to-Lovers Read,Intermediate,"The Wicked King, Fourth Wing, Once Upon a Broken Heart",A political fantasy where ambition matters more than magic.,"Holly Black delivers court politics, betrayal, and one of YA fantasy's most iconic rivals-to-lovers stories.","To survive Faerie, kindness isn't enough.",Best Fae Fantasy Books,October,,,,,,Yes,Bestseller,Film Rights,Very High,Very High,
The Butcher,—,Jennifer Hillier,Female,Canada,English,—,2014,352,—,—,Fiction,Thriller,Mystery,Psychological Thriller,Adult,No,—,—,Yes,"Murder, Secrets, Family, Justice","Dark, Suspenseful","Serial Killer, Hidden Past","Thriller, Mystery, Women Author",Yes,Yes,Secondary,Psychological Thriller,Thriller Weekend,Intermediate,"Jar of Hearts, Never Lie, The Silent Patient",A chilling psychological thriller packed with shocking twists and unforgettable suspense.,Jennifer Hillier masterfully blends family drama with serial killer suspense.,Every family hides something terrifying.,Thriller Books With Jaw-Dropping Twists,October,,,,,,Yes,Bestseller,No,High,High,
You Killed Me First,—,John Marrs,Male,UK,English,—,2025,—,—,—,Fiction,Thriller,Mystery,Domestic Thriller,Adult,No,—,—,Yes,"Revenge, Secrets, Betrayal","Suspenseful, Twisty","Multiple POV, Hidden Truths","Thriller, Psychological Thriller",No,Yes,Primary,Domestic Thriller,Weekend Thriller,Intermediate,"The Family Upstairs, Never Lie, None of This Is True",A twist-filled thriller where revenge and secrets collide.,John Marrs delivers another addictive psychological thriller full of surprises.,Everyone has a motive.,Domestic Thrillers You Can't Put Down,October,,,,,,Yes,Bestseller,No,Growing,Growing,
That's Not My Name,—,Megan Lally,Female,USA,English,—,2023,304,—,—,Fiction,Thriller,Mystery,YA Thriller,Young Adult,No,—,—,Yes,"Identity, Survival, Mystery","Suspenseful, Fast-paced","Missing Person, Amnesia","YA Thriller, Mystery, BookTok",Yes,Yes,Primary,YA Thriller,Fast Read,Beginner,"A Good Girl's Guide to Murder, None Shall Sleep, Five Survive",A gripping YA mystery that keeps readers questioning every page.,"Megan Lally builds suspense around identity, memory, and survival.",What if even your own name was a lie?,YA Thrillers Worth Reading,August,,,,,,Yes,Bestseller,No,High,High,
Never Lie,—,Freida McFadden,Female,USA,English,—,2022,304,—,—,Fiction,Thriller,Mystery,Psychological Thriller,Adult,No,—,—,Yes,"Secrets, Marriage, Deception","Twisty, Dark","Isolated House, Unreliable Narrator","Psychological Thriller, BookTok",Yes,Yes,Primary,Psychological Thriller,Weekend Thriller,Beginner,"The Housemaid, The Silent Patient, Rock Paper Scissors",A page-turning thriller where every revelation changes everything.,Freida McFadden proves why she's one of today's most addictive thriller writers.,Trust me—you won't guess the ending.,Psychological Thrillers That Shocked Me,October,,,,,,Yes,Bestseller,Film Rights,Very High,Very High,
Morning Star,—,Pierce Brown,Male,USA,English,—,2016,544,—,—,Fiction,Science Fiction,Dystopian,Space Opera,Adult,Yes,Red Rising Saga,3,No,"Revolution, Loyalty, War","Epic, Intense","Rebellion, Found Family","Science Fiction, Space Opera",No,No,Secondary,Science Fiction,Epic Series Read,Advanced,"Golden Son, Red Rising, Sun Eater","A thrilling conclusion filled with sacrifice, revolution, and unforgettable battles.",Pierce Brown raises the stakes with epic storytelling and emotional character arcs.,Freedom always comes at a price.,Best Space Opera Series,November,,,,,,Yes,Bestseller,No,High,High,
Red Rising,—,Pierce Brown,Male,USA,English,—,2014,382,—,—,Fiction,Science Fiction,Dystopian,Space Opera,Adult,Yes,Red Rising Saga,1,No,"Revenge, Freedom, Power","Fast-paced, Intense","Chosen One, Rebellion","Science Fiction, BookTok, Dystopian",No,No,Secondary,"Science Fiction, Dystopian",Series Starter,Intermediate,"The Hunger Games, Ender's Game, Red Queen",A gripping science fiction novel about rebellion against an oppressive society.,"Fast-paced, intelligent, and impossible to put down, it's one of modern sci-fi's biggest successes.",Rise. Fight. Change everything.,Science Fiction Books Everyone Should Read,July,,,,,,Yes,Bestseller,TV Adaptation in Development,Very High,Very High,
The Surviving Sky,—,Kritika H. Rao,Female,India,English,—,2023,432,—,—,Fiction,Fantasy,Science Fantasy,Climate Fantasy,Adult,Yes,The Rages Trilogy,1,No,"Survival, Marriage, Nature, Power","Epic, Atmospheric","Married Couple, Living Cities","Indian Author, Climate Fiction, Epic Fantasy",Yes,Yes,Primary,Indian Fantasy,Epic Fantasy Read,Advanced,"The Final Strife, The Fifth Season, The Jasmine Throne","A unique fantasy combining climate fiction, marriage, and extraordinary world-building.",Kritika H. Rao introduces one of the freshest fantasy worlds in recent years.,Imagine cities that live and breathe.,Underrated Indian Fantasy Books,September,,,,,,Yes,—,No,Moderate,Moderate,
The Star-Touched Queen,—,Roshani Chokshi,Female,USA,English,—,2016,352,—,—,Fiction,Fantasy,Romance,Mythological Fantasy,Young Adult,Yes,The Star-Touched Queen,1,No,"Destiny, Love, Identity","Dreamlike, Romantic","Arranged Marriage, Cursed Kingdom","Indian-inspired Fantasy, YA Fantasy",Yes,Yes,Primary,Indian Mythology Fantasy,Fantasy Romance Read,Beginner,"The Wrath & the Dawn, The Library of Fates, Kaikeyi",A lush fantasy inspired by Indian mythology and celestial magic.,Roshani Chokshi's lyrical storytelling makes this an enchanting YA fantasy.,Stars choose queens for a reason.,Indian Mythology Inspired Fantasy,May,,,,,,Yes,Bestseller,No,High,High,
The Tiger at Midnight,—,Swati Teerdhala,Female,Canada,English,—,2019,496,—,—,Fiction,Fantasy,Adventure,Indian-inspired Fantasy,Young Adult,Yes,The Tiger at Midnight,1,No,"Duty, Identity, Freedom","Adventurous, Romantic","Cat and Mouse, Forbidden Romance","Indian-inspired Fantasy, YA Fantasy",Yes,Yes,Primary,Indian-inspired Fantasy,Adventure Read,Intermediate,"We Hunt the Flame, The Star-Touched Queen, Ember in the Ashes",A thrilling fantasy inspired by Indian history and folklore.,"Swati Teerdhala delivers adventure, romance, and unforgettable world-building.",Hunter and hunted—until fate changes everything.,Indian Fantasy Books,June,,,,,,Yes,Bestseller,No,Moderate,High,
The Phoenix King,—,Aparna Verma,Female,India / USA,English,—,2024,480,—,—,Fiction,Fantasy,Epic Fantasy,Indian-inspired Fantasy,Adult,Yes,The Phoenix King,1,No,"Power, Legacy, Destiny","Epic, Emotional","Political Intrigue, Prophecy","Indian Fantasy, Women Author",Yes,Yes,Primary,Indian Fantasy,Epic Fantasy Read,Intermediate,"The Jasmine Throne, The Final Strife, The Surviving Sky","A richly imagined fantasy exploring destiny, power, and legacy.",Aparna Verma creates a compelling epic inspired by South Asian history and mythology.,Every kingdom needs a ruler willing to burn for it.,New Indian Fantasy Releases,September,,,,,,Yes,—,No,Growing,Growing,
The Library of Fates,—,Aditi Khorana,Female,India / USA,English,—,2017,352,—,—,Fiction,Fantasy,Historical Fantasy,Indian-inspired Fantasy,Young Adult,No,—,—,Yes,"Destiny, Courage, Hope","Emotional, Magical",Heroine's Journey,"Indian-inspired Fantasy, YA Fantasy",Yes,Yes,Primary,Indian-inspired Fantasy,Mythology Read,Beginner,"The Star-Touched Queen, Forest of Enchantments, Kaikeyi",A magical journey where destiny is rewritten through courage and hope.,A beautifully imagined fantasy inspired by Indian culture and storytelling traditions.,Libraries don't just hold books—they hold destinies.,Books Inspired by Indian Culture,May,,,,,,Yes,—,No,Moderate,Moderate,
Mom Unfiltered,—,Leah Kim,Female,South Korea / USA,English,—,2024,—,—,—,Non-fiction,Memoir,Parenting,Personal Essays,Adult,No,—,—,Yes,"Motherhood, Identity, Family","Honest, Reflective",Personal Growth,"Motherhood, Memoir, Women Author",Yes,Yes,Primary,"Memoir, Parenting",Mother's Day Read,Beginner,"Untamed, Dear Ijeawele, Fair Play","A candid exploration of motherhood, identity, and modern parenting.",Honest and relatable essays that celebrate the imperfect realities of being a mother.,Motherhood isn't perfect—and that's okay.,Books Every Mother Should Read,May,,,,,,Yes,—,No,Low,Moderate,
A Thousand Blues,—,Cheon Seon-ran,Female,South Korea,Korean,Yes,2020 (Eng.),—,—,—,Fiction,Science Fiction,Literary Fiction,Speculative Fiction,Adult,No,—,—,Yes,"Humanity, Loneliness, Hope","Quiet, Emotional, Reflective","AI Companion, Found Family","Korean Literature, Literary Sci-Fi, Healing Fiction",Yes,No,Secondary,"Korean Literature, Literary Sci-Fi",Reflective Read,Intermediate,"Klara and the Sun, Before the Coffee Gets Cold, Welcome to the Hyunam-dong Bookshop","A thoughtful Korean novel exploring humanity, loneliness, and hope through speculative fiction.",Cheon Seon-ran blends quiet science fiction with emotional storytelling to create a deeply moving reading experience.,Can machines teach us what it means to be human?,Korean Books Beyond Healing Fiction,January,,,,,,Yes,—,No,Growing,Growing,
The Future Perfect,—,Cay Kim,Female,South Korea,English,—,2025,—,—,—,Fiction,Contemporary Fiction,Literary Fiction,Speculative Fiction,Adult,No,—,—,Yes,"Identity, Technology, Relationships, Future","Reflective, Emotional, Thought-provoking","Near Future, Self Discovery","Korean Literature, Speculative Fiction, Women Author",Yes,Yes,Secondary,"Korean Literature, Speculative Fiction",Reflective Read,Intermediate,"Klara and the Sun, Tomorrow and Tomorrow and Tomorrow, A Thousand Blues",A thoughtful novel exploring identity and human connection in a changing world.,Cay Kim blends speculative fiction with emotional storytelling to examine the future of relationships.,Can the future rewrite who we are?,Best Literary Speculative Fiction,January,,,,,,Yes,—,No,Growing,Growing,
The Devoted,—,Catherine Cho,Female,USA / South Korea,English,—,2022,272,—,—,Non-fiction,Memoir,Literary Non-fiction,Family Memoir,Adult,No,—,—,Yes,"Motherhood, Identity, Mental Health, Family","Honest, Reflective, Emotional",Personal Journey,"Memoir, Women Author, Korean Diaspora, Motherhood",Yes,Yes,Primary,"Memoir, Motherhood",Memoir Read,Beginner,"Crying in H Mart, Know My Name, Minor Feelings","A deeply personal memoir about motherhood, identity, and mental health.","Catherine Cho writes with vulnerability and honesty about family, culture, and healing.",Motherhood isn't always the story we're told.,Memoirs Every Woman Should Read,May,,,,,,Yes,Critically Acclaimed,No,Moderate,Moderate,
The Seoul Letter Shop,—,Baek Seungyeon,Female,South Korea,Korean,Yes,2024 (Eng.),—,—,—,Fiction,Literary Fiction,Contemporary Fiction,Healing Fiction,Adult,No,—,—,Yes,"Healing, Community, Hope, Friendship","Cozy, Gentle, Heartwarming","Found Family, Slice of Life","Korean Literature, Healing Fiction, Cozy Read",Yes,Yes,Secondary,Korean Healing Fiction,Comfort Read,Beginner,"Welcome to the Hyunam-dong Bookshop, Marigold Mind Laundry, What You Are Looking For Is in the Library","A cozy novel celebrating handwritten letters, kindness, and second chances.",A comforting slice-of-life story that captures the warmth of meaningful human connections.,What if one letter changed someone's life?,Cozy Korean Healing Fiction,January,,,,,,Yes,Bestseller (Korea),No,Growing,High,
